id;description;longitude;latitude;date
1;middleware deposit;47;130;2023-10-03T01:05:19
2;Dynamic Georgia;51;74;2023-10-02T21:39:43
3;Assistant Decentralized;13;166;2023-10-03T06:52:26
4;input;42;327;2023-10-03T06:19:02
5;Carolina Ball;265;255;2023-10-02T23:58:46
6;Minnesota payment feed;192;64;2023-10-03T05:05:35
7;Rustic transmitter;41;171;2023-10-03T09:18:06
8;program;358;299;2023-10-03T02:09:36
9;Response;297;147;2023-10-03T10:18:14
10;superstructure transmitter Refined;170;39;2023-10-03T00:53:39
